latitude,longitude,date,max_chla
50.0,345.0,2012-05-31,1.3900539875030518
50.0,345.25,2012-06-08,1.9112739562988281
50.0,345.5,2012-05-31,2.006770372390747
50.0,345.75,2012-05-31,2.381528854370117
50.0,346.0,2012-05-31,2.474473237991333
50.0,346.25,2012-05-31,2.497377395629883
50.0,346.5,2012-05-31,2.7079837322235107
50.0,346.75,2012-05-31,2.903294086456299
50.0,347.0,2012-05-31,2.411390542984009
50.0,347.25,2012-05-31,2.339648485183716
50.0,347.5,2012-05-31,1.8825525045394897
50.0,347.75,2012-05-31,1.6056300401687622
50.0,348.0,2012-06-16,1.6754909753799438
50.0,348.25,2012-05-31,1.695434808731079
50.0,348.5,2012-05-31,2.6414597034454346
50.0,348.75,2012-05-31,2.3335866928100586
50.0,349.0,2012-05-31,2.3230154514312744
50.0,349.25,2012-05-07,1.8502229452133179
50.0,349.5,2012-05-07,2.435587167739868
50.0,349.75,2012-03-28,2.308375120162964
50.0,350.0,2012-03-28,1.7404553890228271
50.0,350.25,2012-03-28,1.4153237342834473
50.0,350.5,2012-03-28,1.7464629411697388
50.0,350.75,2012-03-28,2.0520200729370117
50.0,351.0,2012-03-28,3.282115936279297
50.0,351.25,2012-03-28,4.460556507110596
50.0,351.5,2012-03-28,4.262584686279297
50.0,351.75,2012-03-28,4.097742557525635
50.0,352.0,2012-03-28,2.428558349609375
50.0,352.25,2012-03-28,2.034414529800415
50.0,352.5,2012-03-28,1.7115851640701294
50.0,352.75,2012-05-07,1.5883972644805908
50.0,353.0,2012-05-07,1.485996961593628
50.0,353.25,2012-09-12,1.0496143102645874
50.0,353.5,2012-08-03,1.6855852603912354
50.0,353.75,2012-08-03,1.3632842302322388
50.0,354.0,2012-04-21,1.4310311079025269
50.0,354.25,2012-04-21,2.1151692867279053
50.0,354.5,2012-04-05,1.4556535482406616
50.0,354.75,2012-04-05,1.51473069190979
50.0,355.0,2012-03-28,1.411827802658081
50.0,355.25,2012-08-03,1.4560017585754395
50.0,355.5,2012-08-03,1.4454952478408813
50.0,355.75,2012-07-26,2.8542160987854004
50.0,356.0,2012-08-03,2.082981586456299
50.0,356.25,2012-08-03,1.9708752632141113
50.0,356.5,2012-08-03,1.8583406209945679
50.0,356.75,2012-08-03,1.3752200603485107
50.0,357.0,2012-08-11,2.156175136566162
50.0,357.25,2012-04-21,1.9410898685455322
50.0,357.5,2012-04-21,2.1942999362945557
50.0,357.75,2012-04-21,2.3962602615356445
50.0,358.0,2012-04-21,2.1158788204193115
50.0,358.25,2012-04-21,1.7060471773147583
50.0,358.5,2012-04-05,1.2019368410110474
50.0,358.75,2012-01-24,1.4626585245132446
50.0,359.0,2012-04-05,1.512872576713562
50.0,359.25,2012-06-08,1.525783896446228
50.0,359.5,2012-06-08,1.5044569969177246
50.0,359.75,2012-06-08,1.79660165309906
50.25,345.0,2012-06-08,2.809602737426758
50.25,345.25,2012-06-08,2.540923595428467
50.25,345.5,2012-05-31,1.9312597513198853
